Zensus 9. Mai 2011;;;;;;;;;;;;Deutschland
;;;;;;;;;;;;Regionalschlüssel: 00
;;;;;;;;;;;;
Bevölkerung nach Geschlecht, Alter (5 Altersklassen) und Religion;;;;;;;;;;;;
Auszählung aus dem bereinigten Registerbestand;;;;;;;;;;;;
Religion;Insgesamt;Insgesamt;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
Religion;Insgesamt;Insgesamt;Männlich;Männlich;Männlich;Männlich;Männlich;Weiblich;Weiblich;Weiblich;Weiblich;Weiblich
Religion;Insgesamt;Insgesamt;Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen)
Religion;Insgesamt;Insgesamt;Unter 18;18 - 29;30 - 49;50 - 64;65 und älter;Unter 18;18 - 29;30 - 49;50 - 64;65 und älter
Religion;Anzahl;%;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
Römisch-katholische Kirche (öffentlich-rechtlich);24066604;30,0;1891084;1770923;3129882;2303036;2203687;1815135;1761102;3416747;2546045;3228963
Evangelische Kirche (öffentlich-rechtlich);23369341;29,1;1743323;1679235;2690053;2014280;2404773;1690025;1721263;3184719;2402567;3839103
Sonstige, keine, ohne Angabe;32783750;40,9;3106174;2331434;5700160;3764026;2413871;2888611;2129034;4724111;3298605;2427724
Insgesamt;80219695;100,0;6740581;5781592;11520095;8081342;7022331;6393771;5611399;11325577;8247217;9495790
;;;;;;;;;;;;
Im Ausland tätige Angehörige der Bundeswehr, der Polizeibehörden und des Auswärtigen Dienstes sowie ihre dort ansässigen Familien werden für dieses Ergebnis nicht berücksichtigt.
Die dargestellten Summenwerte werden stets auf Basis der ungerundeten Ausgangswerte ermittelt, weshalb diese von der Summe der ausgewiesenen Einzelwerte abweichen können.
Die relativen Ergebnisse beziehen sich auf die jeweilige Teilgesamtheit des betrachteten Merkmals der jeweiligen regionalen Einheit. Die relativen Werte wurden durch Division von Ergebnissen nach Durchführung der Geheimhaltung errechnet.
;;;;;;;;;;;;
;;;;;;;;;;;;
© Statistische Ämter des Bundes und der Länder, 2014;;;;;;;;;;;;
Vervielfältigung und Verbreitung mit Quellenangabe gestattet.;;;;;;;;;;;;
