# (c) Statistisches Bundesamt, Wiesbaden 2014,,,,,,,,,,,
# ,,,,,,,,,,,,
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013,,,,,,,,,,,,
# Wählerschaft der Parteien nach Geschlecht und Altersgruppen 2013 und 2009 in Prozent,,,,,,,,,,,,
# ,,,,,,,,,,,,
Partei;Von 100 gültigen Zweitstimmen für die jeweilige Partei wurden abgegeben von Wählern im Alter von ... bis unter ... Jahren;;;;;;;;;;;,,,,,,,,,,,,
;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 69;60 und mehr1;;70 und mehr,,,,,,,,,,,,
;2013;2009;2013;2009;2013;2009;2013;2009;2013;2013;2009;2013,,,,,,,,,,,,
;;;;;;;;;;;;,,,,,,,,,,,,
;Insgesamt;;;;;;;;;;;,,,,,,,,,,,,
CDU;5,39325539;6,337470877;10,671096;8,591279207;13,4041498;14,92610757;27,7388042;29,00347611;14,9915999;42,7926946;41,14166624;27,8010947
SPD;6,97518875;6,149286282;10,460777;10,13372458;11,7348148;15,08805981;30,7572429;24,86635616;16,1115089;40,0719766;43,76257316;23,9604677
FDP;7,51668705;8,457162815;12,2296369;14,65262145;14,1424867;19,44993396;27,6062451;28,31643308;14,8669509;38,5049442;29,12384869;23,6379933
DIE LINKE;6,32102554;6,958121749;12,3203123;10,27014247;12,9962396;16,00552062;34,3042654;36,54227566;17,081075;34,0581572;30,22393951;16,9770822
GRÜNE;10,3467514;11,57286773;15,5607584;15,08779456;18,3838676;23,5346844;37,1003438;33,48385184;10,0196144;18,6082789;16,32080147;8,5886645
CSU;6,40311773;6,357376053;11,4484639;10,80000283;14,0673619;15,53857623;27,859846;24,78535389;15,7208122;40,2212105;42,51869099;24,5003983
Sonstige;13,1800893;19,66627655;19,6905285;20,82309604;17,4289787;20,25345153;30,1370498;23,90274385;10,3723488;19,5633537;15,35443205;9,19100497
Insgesamt;7,32506958;8,031563178;12,2887466;11,66908083;13,8842068;17,03919638;30,1349127;28,56916868;14,5828472;36,3670643;34,69099093;21,7842171
;Männer;;;;;;;;;;;,,,,,,,,,,,,
CDU;5,75833554;6,635218792;11,1092244;8,492312723;13,9971656;15,41815706;29,2401035;30,42806428;14,7055329;39,895171;39,02624715;25,1896381
SPD;7,33403164;6,579866986;10,5025445;10,52318793;11,824588;15,74234055;31,7689783;25,89774189;16,3096139;38,5698575;41,25686265;22,2602437
FDP;8,13997904;9,124973581;12,3979777;15,36715853;14,4892909;20,5666867;28,663932;28,06114015;14,8658806;36,3088205;26,88004104;21,4429399
DIE LINKE;6,21381987;6,23085274;12,0920248;9,929927157;12,9028769;15,93066379;34,2742731;37,40022128;17,7691638;34,5170053;30,50833504;16,7478415
GRÜNE;9,30286869;11,02290253;15,0174357;15,01934689;18,4910041;23,62843216;38,2632228;34,49340196;10,6968936;18,9254687;15,83591647;8,22857514
CSU;6,76681413;6,697387736;11,9741865;11,42914425;14,5600615;16,50011791;29,2985379;25,68709523;15,256161;37,4003999;39,68625487;22,1442389
Sonstige;13,8974628;22,06432666;20,2661268;22,37868651;17,7313206;20,07505081;29,2518743;22,01377666;10,2023064;18,8532155;13,46815936;8,6509091
Zusammen;7,73539795;8,5112216;12,6436723;12,10161165;14,1991203;17,57208832;31,0017815;29,3231884;14,5837017;34,420028;32,49189002;19,8363263
;Frauen;;;;;;;;;;;,,,,,,,,,,,,
CDU;5,09848622;6,058529317;10,317347;8,683994771;12,9253431;14,4651369;26,526641;27,66886779;15,2225732;45,1321827;43,12347122;29,9096095
SPD;6,61511933;5,810379765;10,4188668;9,827181191;11,6447347;14,57308085;29,7420494;24,05456097;15,9127268;41,5792298;45,73479722;25,666503
FDP;6,73677035;7,684608518;12,0189944;13,82601201;13,7085354;18,15802288;26,2827762;28,61176771;14,8682902;41,2529237;31,71958888;26,3846335
DIE LINKE;6,43558663;7,818295198;12,5642627;10,67253028;13,0960079;16,09405712;34,3363154;35,52754516;16,3457763;33,5678274;29,88757224;17,2220511
GRÜNE;11,0951405;11,9780868;15,9502818;15,1382274;18,3070585;23,46561026;36,2666428;32,74000667;9,53405362;18,3808764;16,67806888;8,8468228
CSU;6,07987525;6,0677733;10,9812174;10,26413569;13,6294652;14,71958933;26,5811796;24,01730154;16,1337802;42,7282625;44,93120015;26,5944823
Sonstige;12,2009739;16,22074094;18,9049165;18,58801249;17,016324;20,50977896;31,3451916;26,61682544;10,604433;20,532594;18,06464217;9,92816098
Zusammen;6,93802587;7,579967013;11,9539617;11,26185508;13,5871636;16,53748111;29,3172355;27,85926262;14,5820412;38,2036133;36,76143418;23,6215722
;;;;;;;;;;;;,,,,,,,,,,,,
;;;;;;;;;;;;,,,,,,,,,,,,
1 2013: Kumuliert aus den Altersgruppen 60 - 69 und 70 und mehr.;;;;;;;;;;;;,,,,,,,,,,,,
